what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"pt_BR",1582120965612
processors,sysinfo,,,"4",1582120965612
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1582120965612
java.runtime.version,sysinfo,,,"1.8.0_231-b11",1582120965612
java.specification.name,sysinfo,,,"Java Platform API Specification",1582120965612
java.specification.vendor,sysinfo,,,"Oracle Corporation",1582120965612
java.specification.version,sysinfo,,,"1.8",1582120965612
java.vendor,sysinfo,,,"Oracle Corporation",1582120965612
java.version,sysinfo,,,"1.8.0_231",1582120965612
java.vm.info,sysinfo,,,"mixed mode",1582120965612
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1582120965612
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1582120965612
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1582120965612
java.vm.specification.version,sysinfo,,,"1.8",1582120965612
java.vm.vendor,sysinfo,,,"Oracle Corporation",1582120965612
java.vm.version,sysinfo,,,"25.231-b11",1582120965612
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1582120965734
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1582120965780
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1582120967619
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1582120973847
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1582120974183
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1582120974249
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582120976530
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582121049796
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1582121061418
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1582305182082
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1582305182083
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1582305182084
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1582305182114
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1582305182150
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1582305182150
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1582305182266
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1582305182268
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1582305182270
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1582305182305
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1582305182305
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1582305182405
started,bundle,org.eclipse.core.resources,3.6.0.R36x_v20100825-0600,"org.eclipse.core.resources",1582305182551
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1582305182553
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1582305182578
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1582305182579
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1582305182580
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1582305182636
