what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582308320620
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582308325394
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582308326836
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1582308326841
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582308357963
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582308407790
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1582308407900
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1582308407985
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1582308417113
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1582308417824
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1582308469390
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582308502125
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582308503205
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582308527742
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582308528656
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582308537841
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582308539158
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582308540835
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582308542156
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1582308549784
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582308552335
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582308785846
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1582308788610
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582308811550
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582308813498
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1582308817445
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1582308819691
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1582308820384
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1582308820402
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1582308826703
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1582308826840
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1582308829604
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1582308830557
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1582308830941
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1582308834655
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1582308843124
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582308855358
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582309048285
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582309058161
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582309060142
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1582309060280
